id,lon,lat
204,6.183827,48.695024
205,6.068884,48.842911
206,6.173022,48.689762
207,6.173022,48.689762
208,6.196215,48.694878
209,6.196215,48.694878
210,6.225206,48.702408
211,6.225206,48.702408
212,6.209852,48.694763
213,6.209852,48.694763
214,6.180104,48.645809
215,6.180104,48.645809
216,6.252662,48.707504
217,6.252662,48.707504
218,6.250865,48.702171
219,6.250865,48.702171
220,6.22903,48.658569
221,6.22903,48.658569
222,6.142407,48.698059
223,6.142407,48.698059
224,6.199602,48.69315
225,6.199602,48.69315
226,6.133857,48.699406
227,6.175165,48.690281
228,6.175165,48.690281
229,6.175165,48.690281
230,6.177347,48.687977
231,6.17407,48.686047
232,6.17407,48.686047
233,6.17407,48.686047
234,6.17407,48.686047
235,6.17407,48.686047
236,6.17407,48.686047
237,6.177347,48.687977
238,6.177347,48.687977
239,6.177347,48.687977
240,6.177347,48.687977
241,6.175165,48.690281
242,6.177347,48.687977
243,6.177347,48.687977
244,6.177347,48.687977
245,6.177347,48.687977
246,6.177347,48.687977
247,6.175165,48.690281
248,6.175165,48.690281
249,6.175165,48.690281
250,6.183827,48.695024
251,6.133857,48.699406
252,6.175165,48.690281
253,6.068884,48.842911
254,6.175381,48.689914
255,6.175381,48.689914
256,6.145994,48.649043
257,6.145994,48.649043
258,6.145994,48.649043
259,6.145994,48.649043
260,6.16177,48.622033
261,6.16177,48.622033
262,6.185137,48.692368
263,6.185137,48.692368
264,6.185137,48.692368
265,6.185137,48.692368
266,6.099536,48.614155
267,6.099536,48.614155
268,6.052047,48.883568
269,6.092196,48.618467
270,6.092196,48.618467
271,6.252347,48.70712
272,6.252347,48.70712
273,6.194121,48.649816
274,6.194121,48.649816
275,6.17863,48.666908
276,6.175381,48.689914
277,6.17863,48.666908
278,5.905749,49.366657
279,5.741943,49.293346
280,5.902419,49.415974
281,5.902419,49.415974
282,5.930792,49.429157
283,5.930792,49.429157
284,5.905749,49.366657
285,5.77921,49.289143
286,5.804458,49.321175
287,5.834023,49.327763
288,5.834023,49.327763
289,5.930843,49.324322
290,5.930843,49.324322
291,6.052047,48.883568
292,5.741943,49.293346
293,5.804458,49.321175
294,5.75571,49.388744
295,5.75571,49.388744
296,5.900021,49.311222
297,5.900021,49.311222
298,5.77921,49.289143
299,-0.925464,45.676244
300,-0.925464,45.676244
301,-0.752427,46.104744
302,-0.752427,46.104744
303,-0.752427,46.104744
304,-0.272705,45.243315
