,ope,consolidated_longitude,prix_kWh
349,Izivia,-0.517812,0.4451162790697675
350,Izivia,-0.517812,0.3828
351,Izivia,-0.517812,0.3828
352,Izivia,-1.265068,0.4451162790697675
353,Izivia,-1.265068,0.3828
354,Izivia,-1.265068,0.3828
355,Izivia,-1.050769,0.3828
356,Izivia,-0.568038,0.4451162790697675
357,Izivia,-0.31735,0.4451162790697675
358,Izivia,-0.556037,0.3828
359,Izivia,-0.496067,0.4451162790697675
360,Izivia,-0.422257,0.3828
361,Izivia,-0.422257,0.3828
362,Izivia,-0.422257,0.4451162790697675
363,Izivia,-0.529733,0.3828
364,Izivia,-0.529733,0.3828
365,Izivia,-0.529733,0.4451162790697675
366,Izivia,-0.510211,0.3828
367,Izivia,-0.510211,0.3828
368,Izivia,-0.510211,0.4451162790697675
369,Izivia,-0.556037,0.3828
370,Izivia,-0.556037,0.4451162790697675
371,Izivia,-1.317532,0.3828
372,Izivia,-0.406388,0.3828
373,Izivia,-0.406388,0.3828
374,Izivia,-0.406388,0.4451162790697675
375,Izivia,-0.96002,0.3828
376,Izivia,-0.96002,0.3828
377,Izivia,-0.96002,0.4451162790697675
378,Izivia,-0.958623,0.3828
379,Izivia,-0.958623,0.3828
380,Izivia,-0.958623,0.4451162790697675
381,Izivia,-0.936192,0.3828
382,Izivia,-0.936192,0.3828
383,Izivia,-0.496067,0.3828
384,Izivia,-0.496067,0.3828
385,Izivia,-0.505448,0.4451162790697675
386,Izivia,-0.505448,0.3828
387,Autre,-1.378539,0.3828
388,Autre,-1.378539,0.3828
389,Izivia,-0.929732,0.27
390,Izivia,-0.929732,0.27
391,Izivia,-1.01114,0.3828
392,Izivia,-0.31735,0.3828
393,Izivia,-1.01114,0.4451162790697675
394,Izivia,-1.33143,0.3828
395,Izivia,-1.33143,0.3828
396,Izivia,-1.33143,0.4451162790697675
397,Izivia,-1.06977,0.3828
398,Izivia,-1.06977,0.3828
399,Izivia,-1.06977,0.4451162790697675
400,Izivia,-1.018217,0.3828
401,Izivia,-1.018217,0.3828
402,Izivia,-1.018217,0.4451162790697675
403,Izivia,-1.033112,0.3828
404,Izivia,-1.033112,0.3828
405,Izivia,-1.033112,0.4451162790697675
406,Izivia,-0.779485,0.3828
407,Izivia,-0.779485,0.3828
408,Izivia,-0.779485,0.4451162790697675
409,Izivia,-0.505448,0.3828
410,Izivia,-0.936192,0.4451162790697675
411,Izivia,-1.01114,0.3828
412,Izivia,-1.317532,0.3828
413,Izivia,-1.194709,0.3828
414,Izivia,-1.194709,0.4451162790697675
415,Izivia,-1.178706,0.3828
416,Izivia,-1.178706,0.3828
417,Izivia,-1.178706,0.4451162790697675
418,Izivia,-0.955017,0.3828
419,Izivia,-0.955017,0.3828
420,Izivia,-0.955017,0.4451162790697675
421,Izivia,-0.838119,0.3828
422,Izivia,-0.838119,0.3828
423,Izivia,-0.838119,0.4451162790697675
424,Izivia,-0.303649,0.3828
425,Izivia,-0.303649,0.3828
426,Izivia,-0.303649,0.4451162790697675
427,Izivia,-0.678903,0.3828
428,Izivia,-0.678903,0.4451162790697675
429,Izivia,-0.013245,0.3828
430,Izivia,-0.013245,0.3828
431,Izivia,-0.013245,0.4451162790697675
432,Izivia,-1.30677,0.3828
433,Izivia,-1.30677,0.3828
434,Izivia,-1.317532,0.4451162790697675
435,Izivia,-1.30677,0.4451162790697675
436,Izivia,-0.31735,0.3828
437,Izivia,-1.194709,0.3828
438,Izivia,-0.678903,0.3828
439,Izivia,-1.188403,0.4451162790697675
440,Izivia,-1.432498,0.3828
441,Izivia,-1.096399,0.3828
442,Izivia,-1.096399,0.4451162790697675
443,Izivia,-1.079027,0.3828
444,Izivia,-1.079027,0.3828
445,Izivia,-1.079027,0.4451162790697675
446,Izivia,-0.813299,0.3828
447,Izivia,-0.813299,0.3828
448,Izivia,-0.813299,0.4451162790697675
449,Izivia,-1.188403,0.3828
450,Izivia,-1.432498,0.4451162790697675
451,Izivia,-1.432498,0.3828
452,Izivia,-1.096399,0.3828
453,Izivia,-0.678354,0.3828
454,Izivia,-0.678354,0.3828
455,Izivia,-0.345935,0.3828
456,Izivia,-1.142896,0.4451162790697675
457,Izivia,-1.142896,0.3828
458,Izivia,-1.142896,0.3828
459,Izivia,-0.345935,0.4451162790697675
460,Izivia,-0.345935,0.3828
461,Izivia,-0.678354,0.4451162790697675
462,Izivia,-1.188403,0.3828
463,Izivia,5.908777,
464,Izivia,3.053665,
465,Izivia,2.585563,
466,Izivia,1.217755,
467,Izivia,2.86455,
468,Izivia,3.67124,
469,Izivia,2.515321,0.1909090909090909
470,Izivia,2.515321,0.1909090909090909
471,Izivia,2.332291,0.3428571428571428
472,Izivia,2.519465,0.1909090909090909
473,Izivia,2.332291,0.3428571428571428
474,Izivia,2.332291,0.3428571428571428
475,Izivia,2.332291,0.3428571428571428
476,Izivia,2.332291,0.3428571428571428
477,Izivia,2.241748,0.1909090909090909
478,Izivia,2.332291,0.3428571428571428
479,Izivia,2.519465,0.1909090909090909
480,Izivia,2.245622,0.1909090909090909
481,Izivia,2.241748,0.1909090909090909
482,Izivia,2.059222,0.1909090909090909
483,Izivia,2.059222,0.1909090909090909
484,Izivia,2.245622,0.1909090909090909
485,Izivia,2.323457,0.3428571428571428
486,Izivia,2.244992,0.1909090909090909
487,Izivia,2.244992,0.1909090909090909
488,Izivia,2.432908,0.1909090909090909
489,Izivia,2.432908,0.1909090909090909
490,Izivia,2.199466,0.325
491,Izivia,2.199466,0.325
492,Izivia,2.069517,0.325
493,Izivia,2.069517,0.325
494,Izivia,2.323457,0.3428571428571428
495,Izivia,2.604141,0.1909090909090909
496,Izivia,2.323457,0.3428571428571428
497,Izivia,2.321018,0.3428571428571428
498,Izivia,2.23608,0.3428571428571428
499,Izivia,2.23608,0.3428571428571428
500,Izivia,2.23608,0.3428571428571428
501,Izivia,2.23608,0.3428571428571428
502,Izivia,2.23608,0.3428571428571428
503,Izivia,2.23608,0.3428571428571428
504,Izivia,2.321018,0.3428571428571428
505,Izivia,2.232187,0.3428571428571428
506,Izivia,2.321018,0.3428571428571428
507,Izivia,2.321018,0.3428571428571428
508,Izivia,2.321018,0.3428571428571428
509,Izivia,2.321018,0.3428571428571428
510,Izivia,2.307748,0.3428571428571428
511,Izivia,2.307748,0.3428571428571428
512,Izivia,2.232187,0.3428571428571428
513,Izivia,2.232187,0.3428571428571428
514,Izivia,2.323457,0.3428571428571428
515,Izivia,2.604141,0.1909090909090909
516,Izivia,2.323457,0.3428571428571428
517,Izivia,2.323457,0.3428571428571428
518,Izivia,2.441778,0.325
519,Izivia,2.441778,0.325
520,Izivia,2.629187,0.1909090909090909
521,Izivia,2.629187,0.1909090909090909
522,Izivia,2.36695,0.1909090909090909
523,Izivia,2.232187,0.3428571428571428
524,Izivia,2.36695,0.1909090909090909
525,Izivia,2.290551,0.1909090909090909
526,Izivia,2.290551,0.1909090909090909
527,Izivia,2.232187,0.3428571428571428
528,Izivia,2.232187,0.3428571428571428
529,Izivia,2.23971,0.325
530,Izivia,2.23971,0.325
531,Izivia,2.637631,0.325
532,Izivia,2.518227,0.1909090909090909
533,Izivia,2.313149,0.3428571428571428
534,Izivia,2.265278,0.1909090909090909
535,Izivia,2.209007,0.3428571428571428
536,Izivia,2.209007,0.3428571428571428
537,Izivia,2.209007,0.3428571428571428
538,Izivia,2.221831,0.3428571428571428
539,Izivia,2.221831,0.3428571428571428
540,Izivia,2.221831,0.3428571428571428
541,Izivia,2.221831,0.3428571428571428
