id_pompe,latitude,longitude,cp,autoroute,adresse,ville,automate-24-24
87100004,1.2419,45.8215,87000,False,BOULEVARD DE BEL AIR,LIMOGES,False
87100005,45.8370,1.2301,87100,False,100 Boulevard de la Borie,LIMOGES,False
87100006,45.8430,1.2520,87100,False,Avenue Émile Labussière,Limoges,False
87100007,45.8380,1.2190,87100,False,86 Rue Abbe Pierre,LIMOGES,True
87100008,45.8493,1.2471,87100,False,91 Boulevard du Vigenal,LIMOGES,False
87100010,45.8215,1.2419,87100,False,BOULEVARD DE BEL AIR,LIMOGES,False
87100011,45.8550,1.2660,87100,False,252/259 AVENUE DU GENERAL LECLER,LIMOGES,False
87100012,45.8385,1.2322,87100,False,100 boulevard de la borie,Limoges,False
87120002,45.7381,1.7341,87120,False,Le Claud RN 79,Eymoutiers,False
87120003,45.7390,1.7390,87120,False,1 Promenade des Sports,Eymoutiers,False
87130001,45.7094,1.5982,87130,False,LE ROUCHILLOUX,CHâTEAUNEUF-LA-FORêT,False
87140002,46.0070,1.1690,87140,False,17 RUE DU COLLEGE,NANTIAT,True
87140003,45.9934,1.2717,87140,False,AVENUE DE LA GARE,COMPREIGNAC,True
87150002,45.7087,0.8386,87150,False, Rue de Saint-Mathieu,CUSSAC,False
87150003,45.7342,0.8619,87150,False,AV FONTAINE ELYSEE,ORADOUR SUR VAYRES,False
87150005,45.7320,0.8700,87150,False,1 RUE JEAN SEGUREL,ORADOUR SUR VAYRES,True
87160001,46.3140,1.4180,87160,True,AUT A 20  AIRE DE BOISMANDE,Saint-Sulpice-les-Feuilles,True
87160002,46.3130,1.4190,87160,True,AUTOROUTE A 20,Saint-Sulpice-les-Feuilles,False
87160003,46.3488,1.3831,87160,False,8 Rue de la Garenne,Les Grands-Chézeaux,False
87160006,46.3135,1.4194,87160,True,A 20,Saint-Sulpice-les-Feuilles,False
87170001,45.8100,1.2190,87170,False,3 Avenue Louis Aragon,ISLE,False
87190001,46.2150,1.1660,87190,False,Avenue Jules Courivaud,MAGNAC-LAVAL,True
87200001,45.8970,0.9200,87200,False,Av. Nelson Mandela,SAINT-JUNIEN,False
87200003,45.8960,0.9150,87200,False,Avenue d'Oradour sur Glane,Saint-Junien,True
87210003,46.2163,1.0841,87210,False,Faubourg de la Porte de Dinsac,LE DORAT,False
87220001,45.8120,1.3220,87220,False,CC LE MAS CERISE,FEYTIAT,True
87220002,45.7800,1.3060,87220,False,ROUTE DE TOULOUSE,BOISSEUIL,False
87220003,45.8127,1.3316,87220,False,"47, Avenue Winston Churchill",FEYTIAT,False
87230002,45.6530,0.9810,87230,False,14 avenue François Mitterrand,Châlus,True
87230003,45.6610,0.9860,87230,False,"62, Avenue Jean Jaurès",Châlus,True
87240001,45.9560,1.3982,87240,False,Rue de la Libération,Ambazac,False
87250001,46.1318,1.3725,87250,False,RN 20 - Croix du Breuil,Bessines-sur-Gartempe,False
87260003,45.7166,1.3749,87260,False,11 rue du commerce,SAINT HILAIRE BONNEVAL,True
