id_pompe,type,debut,fin
78300005,T,2009-02-01T00:00:00,
78310009,D,2023-02-03T00:00:00,
78330002,T,2016-06-16T00:00:00,2023-02-02T00:00:00
78350002,T,2022-06-15T00:00:00,2023-02-26T09:33:58
78370003,T,2016-05-11T00:00:00,2023-02-02T00:00:00
78590001,T,2009-02-01T00:00:00,
78710003,D,2023-02-07T00:00:00,
78990009,T,2016-10-17T00:00:00,2023-02-02T00:00:00
78990009,D,2023-02-02T00:00:00,
80000010,T,2016-01-20T10:17:45,
80000011,T,2009-02-01T00:00:00,
80220002,T,2017-02-16T00:00:00,
80290003,D,2023-02-06T00:00:00,
82210004,T,2022-09-02T00:00:00,2023-02-28T07:56:41
82300002,D,2023-02-28T00:00:00,
83000013,D,2023-02-02T00:00:00,
83147001,D,2023-01-16T00:00:00,
83310010,T,2012-08-27T00:00:00,
84300002,T,2011-09-26T00:00:00,
84300011,T,2023-01-24T00:00:00,2023-01-27T11:13:53
84330003,D,2023-02-06T00:00:00,
85120004,D,2023-01-10T00:00:00,
85130003,D,2023-02-23T00:00:00,
85130003,T,2014-02-13T00:00:00,2023-02-23T00:00:00
85390001,T,2010-08-17T00:00:00,2023-02-23T00:00:00
85400004,T,2015-09-09T00:00:00,2023-02-23T00:00:00
85400004,D,2023-02-23T00:00:00,
86130009,D,2023-02-14T00:00:00,
86170004,D,2023-02-28T00:00:00,
87100011,T,2022-09-19T00:00:00,2023-03-02T00:00:00
88200002,T,2022-12-26T00:00:00,2023-01-31T00:00:00
88200002,T,2019-08-10T00:00:00,2023-02-01T00:00:00
88230001,T,2022-12-31T00:00:00,2023-01-02T00:00:00
88700005,D,2023-02-01T00:00:00,
88700005,T,2021-10-01T00:00:00,2023-02-01T00:00:00
91000006,D,2023-03-01T00:00:00,
91100018,D,2023-03-01T00:00:00,
91160003,T,2013-09-10T00:00:00,2023-03-01T00:00:00
91160003,D,2023-03-01T00:00:00,
91380008,D,2023-02-14T00:00:00,
91610001,T,2023-01-07T00:00:00,2023-01-07T14:34:20
92100013,T,2017-10-09T00:00:00,
92700006,T,2009-02-01T00:00:00,
93000009,D,2023-02-22T00:00:00,
93000009,T,2017-04-25T00:00:00,2023-02-22T00:00:00
93100015,T,2023-02-28T00:00:00,2023-04-01T00:00:00
93120004,T,2023-03-06T00:00:00,2023-03-10T00:00:00
93120004,T,2023-01-10T00:00:00,2023-01-20T15:53:36
93130005,T,2009-02-01T00:00:00,
93150004,T,2017-04-25T00:00:00,2023-02-22T00:00:00
93150004,D,2023-02-22T00:00:00,
93230006,D,2023-02-22T00:00:00,
93270007,T,2017-04-25T00:00:00,2023-02-22T00:00:00
93270007,D,2023-02-22T00:00:00,
93330007,D,2023-02-22T00:00:00,
94190005,D,2023-02-09T00:00:00,
94190005,T,2022-07-12T00:00:00,2023-02-09T09:58:27
94270003,T,2009-02-01T00:00:00,
94460002,D,2023-02-09T00:00:00,
94460002,T,2011-08-10T00:00:00,2023-02-09T09:58:50
94500007,T,2023-01-14T00:00:00,2023-01-16T08:19:43
94600006,D,2023-02-09T00:00:00,
94600006,T,2013-09-03T00:00:00,2023-02-09T09:59:10
94700008,D,2023-01-16T00:00:00,
94700009,D,2023-01-11T00:00:00,
95130002,T,2009-02-01T00:00:00,
95220004,T,2009-02-01T00:00:00,
95310005,T,2009-02-01T00:00:00,
95330001,T,2009-02-01T00:00:00,
95420005,T,2023-02-03T00:00:00,2023-02-24T10:36:42
